age,income,credit_score,employment_type,loan_amount,existing_loans,spending_ratio,loan_status
59,81158,342,2,464200,2,0.777737283,0
49,54782,432,2,450678,0,0.230805961,0
35,105709,694,2,435569,4,0.665239103,0
28,98533,364,2,378199,3,0.231132219,0
41,128939,589,2,471860,3,0.750510383,0
59,78255,675,2,124097,1,0.83889986,0
39,131952,766,1,53302,3,0.540790216,1
43,92684,512,1,127561,0,0.763179261,0
31,76918,447,2,213051,0,0.694487373,0
31,146093,770,1,420651,1,0.756944705,0
44,104284,448,1,62728,3,0.73674264,0
56,99558,387,2,365742,2,0.343757519,0
44,105549,623,2,268382,2,0.549691307,0
23,124223,695,1,216929,4,0.872289931,0
42,101422,703,2,348754,1,0.440473061,1
22,140363,381,2,149121,4,0.879340963,0
44,146352,585,2,62193,2,0.608213198,0
50,45256,681,2,171656,2,0.523127992,1
58,50005,569,1,333778,2,0.660430226,0
22,26638,591,0,19679,4,0.77108742,0
41,57419,752,1,301649,1,0.475945708,1
53,53377,323,0,318485,0,0.223067923,0
32,126244,610,0,499285,0,0.696164409,0
42,63116,760,0,55374,2,0.869316749,1
45,56634,507,1,314142,1,0.637490655,0
47,102291,737,1,475186,1,0.331890135,1
48,43382,837,1,191773,3,0.373769773,1
36,135303,635,1,180931,3,0.836825503,0
35,76063,721,1,394347,4,0.209493467,1
23,42394,620,0,38178,3,0.584122666,0
57,87789,796,1,425791,4,0.311074352,1
27,123246,462,0,417545,0,0.397935105,0
41,130634,840,1,455470,2,0.414887155,1
29,20864,464,1,239162,1,0.353497923,0
59,119572,594,2,374517,0,0.754646444,0
38,60222,341,0,220101,0,0.432546422,0
24,33666,584,1,223438,4,0.441839494,0
45,143664,686,1,109139,2,0.51710477,1
34,40955,437,1,105290,4,0.831606702,0
29,130674,486,2,471878,0,0.681721122,0
46,123533,730,0,176140,1,0.243224793,1
22,101845,715,1,63951,3,0.227483345,1
40,136925,725,1,354773,4,0.596472461,1
48,89590,715,1,249924,0,0.820942393,0
27,147775,325,2,433387,3,0.426276033,0
28,86471,670,1,144334,3,0.37344028,1
55,130476,684,0,441486,0,0.723733732,0
34,108314,355,0,156857,2,0.621463957,0
37,142579,552,0,437685,0,0.59551914,0
56,63298,405,0,335975,1,0.304510839,0
24,83108,429,1,348367,3,0.323172923,0
22,133864,675,2,50643,1,0.397251443,1
26,68924,607,2,203729,4,0.344787254,0
24,36709,390,2,8582,3,0.880011322,0
49,29726,692,1,117781,2,0.213027711,0
38,80824,833,2,428496,0,0.638239437,0
46,60542,409,0,254957,4,0.562319177,0
54,40245,639,1,440805,1,0.426275865,0
30,54753,655,2,109004,4,0.821312098,0
56,99788,467,0,45000,2,0.669113804,0
34,41316,751,0,107592,0,0.898848046,0
51,122907,404,1,495424,4,0.318059172,0
35,104698,449,1,6085,1,0.261507485,0
28,35960,445,2,479643,4,0.297578087,0
34,50791,598,2,413816,0,0.388503677,0
43,127766,466,2,365138,4,0.491750894,0
41,45216,347,1,458017,1,0.8038223,0
36,52467,538,2,197811,0,0.398514236,0
38,84427,306,2,210253,2,0.840670317,0
44,132470,763,0,384453,2,0.524035382,1
46,82047,752,0,374258,3,0.652949013,0
45,93290,670,0,439812,4,0.3850854,1
49,67014,848,2,337554,1,0.309209671,1
35,24078,786,1,477519,4,0.808619858,0
21,98389,510,0,188260,0,0.276654326,0
45,70519,464,1,293969,3,0.741814914,0
27,24042,424,2,146985,1,0.606689014,0
29,69052,636,2,217823,4,0.802796447,0
44,34389,491,0,89269,1,0.702472888,0
21,115961,513,1,281476,0,0.397164871,0
28,88111,627,0,59895,3,0.602099318,0
44,125058,680,2,402648,1,0.209151534,1
31,113715,538,1,486311,0,0.53265284,0
37,70733,831,0,424786,2,0.260209545,1
28,54754,381,2,241641,1,0.500261498,0
55,38624,662,0,404319,3,0.276728266,0
55,105886,804,1,264830,1,0.868835865,0
53,46681,501,1,389190,1,0.56614757,0
25,109524,803,1,414116,0,0.83925259,0
59,101006,336,1,456631,4,0.215656356,0
48,44704,701,1,334711,4,0.646357299,0
27,124272,475,0,329857,1,0.414868151,0
29,114913,844,0,219241,3,0.502280297,1
28,114108,766,0,63639,3,0.811161177,0
32,143731,500,0,486944,0,0.886014766,0
54,27493,839,2,483692,1,0.372544368,0
53,89639,846,2,242895,1,0.8637773,0
43,120380,693,0,407204,4,0.682108864,0
44,74383,341,2,370747,0,0.86598974,0
57,22994,692,2,83488,2,0.593656899,0
55,89280,740,1,360049,3,0.872529399,0
42,67234,805,0,499614,3,0.824718821,0
47,67291,619,2,270121,1,0.290014219,0
55,148674,514,2,382794,0,0.417552949,0
21,112868,370,0,240101,2,0.370144234,1
55,25594,535,1,321785,3,0.600469528,0
57,125835,580,0,399484,0,0.761959602,0
34,27371,461,1,381609,2,0.731588013,0
23,67315,490,2,59431,1,0.708724393,0
21,103564,308,1,283900,4,0.462685413,0
25,147251,359,1,156836,3,0.297745817,0
46,121448,524,0,195984,3,0.347408488,0
34,99526,586,2,438601,2,0.719174222,0
59,132387,468,0,151104,4,0.303274037,0
47,36626,361,0,231086,0,0.356062693,0
29,106005,648,2,181774,1,0.497186857,0
35,126258,741,0,147957,0,0.250478701,1
35,125573,313,0,276940,2,0.348884443,0
46,27130,463,1,371727,3,0.304837689,0
33,26828,719,0,168935,3,0.865925248,0
52,77514,819,2,86014,0,0.33406812,1
59,127148,847,0,168189,1,0.803238797,0
52,132524,327,1,418969,2,0.280358734,0
24,124635,745,0,287469,1,0.808771193,1
50,72664,507,0,405237,2,0.61960365,0
57,131701,769,0,478937,1,0.794794146,0
43,37883,403,1,260152,0,0.807144082,0
59,63059,725,2,58096,4,0.617461471,0
35,104078,400,2,207476,2,0.842385907,0
49,62932,840,1,149143,0,0.609813804,0
56,149900,821,1,331793,3,0.698795555,0
33,81269,405,0,275185,3,0.491256334,0
52,139850,576,2,218123,1,0.839847386,0
27,95986,364,1,45058,3,0.776913777,0
42,105959,487,2,53263,4,0.316699178,0
48,22035,616,0,227574,2,0.603471495,0
22,129767,437,1,109820,1,0.82777913,0
26,60745,642,2,112645,2,0.755145146,0
48,37241,404,2,180542,2,0.873786946,0
48,72975,845,0,223898,0,0.361911181,1
40,43154,679,1,494454,3,0.457221743,1
50,45625,409,2,295367,2,0.555034322,0
31,64950,844,0,300719,4,0.362868419,1
48,118602,653,2,444015,4,0.475831679,1
45,76396,616,0,245776,3,0.576277443,0
