age,income,credit_score,employment_type,loan_amount,existing_loans,spending_ratio,loan_status
59,81158,342,2,464200,2,0.7777372828670339,0
49,54782,432,2,450678,0,0.2308059607707257,0
35,105709,694,2,435569,4,0.6652391029415912,0
28,98533,364,2,378199,3,0.23113221888756244,0
41,128939,589,2,471860,3,0.7505103827452595,0
59,78255,675,2,124097,1,0.8388998604756239,0
39,131952,766,1,53302,3,0.540790216084193,1
43,92684,512,1,127561,0,0.763179260708607,0
31,76918,447,2,213051,0,0.6944873729951598,0
31,146093,770,1,420651,1,0.756944704521427,0
44,104284,448,1,62728,3,0.736742639668192,0
56,99558,387,2,365742,2,0.34375751861711235,0
44,105549,623,2,268382,2,0.5496913071083527,0
23,124223,695,1,216929,4,0.87228993098847,0
42,101422,703,2,348754,1,0.4404730612070441,1
22,140363,381,2,149121,4,0.879340963445945,0
44,146352,585,2,62193,2,0.6082131980036151,0
50,45256,681,2,171656,2,0.5231279923660441,1
58,50005,569,1,333778,2,0.6604302255183414,0
22,26638,591,0,19679,4,0.7710874198243856,0
41,57419,752,1,301649,1,0.47594570839552447,1
53,53377,323,0,318485,0,0.22306792258024657,0
32,126244,610,0,499285,0,0.696164408579288,0
42,63116,760,0,55374,2,0.8693167491481695,1
45,56634,507,1,314142,1,0.6374906551934366,0
47,102291,737,1,475186,1,0.33189013498183134,1
48,43382,837,1,191773,3,0.37376977252677723,1
36,135303,635,1,180931,3,0.836825503041962,0
35,76063,721,1,394347,4,0.20949346692312945,1
23,42394,620,0,38178,3,0.5841226658243922,0
57,87789,796,1,425791,4,0.311074351635769,1
27,123246,462,0,417545,0,0.3979351046519556,0
41,130634,840,1,455470,2,0.4148871546452821,1
29,20864,464,1,239162,1,0.3534979234168293,0
59,119572,594,2,374517,0,0.754646443894309,0
38,60222,341,0,220101,0,0.43254642178513114,0
24,33666,584,1,223438,4,0.4418394938858766,0
45,143664,686,1,109139,2,0.5171047695854214,1
34,40955,437,1,105290,4,0.8316067021182958,0
29,130674,486,2,471878,0,0.6817211224186781,0
46,123533,730,0,176140,1,0.2432247929174444,1
22,101845,715,1,63951,3,0.2274833447256019,1
40,136925,725,1,354773,4,0.5964724607039178,1
48,89590,715,1,249924,0,0.8209423932090454,0
27,147775,325,2,433387,3,0.42627603320041374,0
28,86471,670,1,144334,3,0.3734402802315179,1
55,130476,684,0,441486,0,0.7237337317191554,0
34,108314,355,0,156857,2,0.6214639565288792,0
37,142579,552,0,437685,0,0.5955191396497636,0
56,63298,405,0,335975,1,0.3045108394004788,0
24,83108,429,1,348367,3,0.32317292306268997,0
22,133864,675,2,50643,1,0.397251443146817,1
26,68924,607,2,203729,4,0.34478725427735585,0
24,36709,390,2,8582,3,0.8800113215325052,0
49,29726,692,1,117781,2,0.21302771144931015,0
38,80824,833,2,428496,0,0.6382394369005269,0
46,60542,409,0,254957,4,0.5623191774128068,0
54,40245,639,1,440805,1,0.42627586512890536,0
30,54753,655,2,109004,4,0.8213120984727826,0
56,99788,467,0,45000,2,0.6691138042774976,0
34,41316,751,0,107592,0,0.8988480459262584,0
51,122907,404,1,495424,4,0.31805917152853974,0
35,104698,449,1,6085,1,0.2615074851074801,0
28,35960,445,2,479643,4,0.29757808722644075,0
34,50791,598,2,413816,0,0.38850367730921737,0
43,127766,466,2,365138,4,0.4917508940975692,0
41,45216,347,1,458017,1,0.80382229950136,0
36,52467,538,2,197811,0,0.39851423643022066,0
38,84427,306,2,210253,2,0.8406703170193774,0
44,132470,763,0,384453,2,0.5240353818833017,1
46,82047,752,0,374258,3,0.6529490129772878,0
45,93290,670,0,439812,4,0.38508539983916557,1
49,67014,848,2,337554,1,0.3092096712164766,1
35,24078,786,1,477519,4,0.8086198584606343,0
21,98389,510,0,188260,0,0.27665432636411474,0
45,70519,464,1,293969,3,0.7418149140369159,0
27,24042,424,2,146985,1,0.6066890142538002,0
29,69052,636,2,217823,4,0.8027964471751943,0
44,34389,491,0,89269,1,0.7024728884687239,0
21,115961,513,1,281476,0,0.3971648714780793,0
28,88111,627,0,59895,3,0.6020993180800933,0
44,125058,680,2,402648,1,0.20915153372381312,1
31,113715,538,1,486311,0,0.5326528396607002,0
37,70733,831,0,424786,2,0.26020954490042497,1
28,54754,381,2,241641,1,0.5002614984672308,0
55,38624,662,0,404319,3,0.27672826559907404,0
55,105886,804,1,264830,1,0.8688358648617904,0
53,46681,501,1,389190,1,0.5661475701854095,0
25,109524,803,1,414116,0,0.8392525896936502,0
59,101006,336,1,456631,4,0.21565635607603612,0
48,44704,701,1,334711,4,0.6463572987173285,0
27,124272,475,0,329857,1,0.41486815134863414,0
29,114913,844,0,219241,3,0.5022802971756654,1
28,114108,766,0,63639,3,0.8111611766502829,0
32,143731,500,0,486944,0,0.8860147663311213,0
54,27493,839,2,483692,1,0.3725443681033467,0
53,89639,846,2,242895,1,0.8637772997473112,0
43,120380,693,0,407204,4,0.6821088642172034,0
44,74383,341,2,370747,0,0.8659897400500896,0
57,22994,692,2,83488,2,0.593656899034847,0
55,89280,740,1,360049,3,0.8725293994940293,0
42,67234,805,0,499614,3,0.8247188207032035,0
47,67291,619,2,270121,1,0.2900142188578122,0
55,148674,514,2,382794,0,0.4175529489712113,0
21,112868,370,0,240101,2,0.3701442340587583,1
55,25594,535,1,321785,3,0.60046952823518,0
57,125835,580,0,399484,0,0.7619596020541477,0
34,27371,461,1,381609,2,0.7315880128208168,0
23,67315,490,2,59431,1,0.7087243925984337,0
21,103564,308,1,283900,4,0.4626854130149101,0
25,147251,359,1,156836,3,0.29774581713947956,0
